B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Group
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200,-200,11
-90,-200,-200,-200,-200,-96,-76,-98,-79,-88,-200,-200,-93,-200,-93,16
-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-95,-200,19
-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,21
-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,4
-200,-200,-200,-200,-75,-200,-200,-69,-71,-200,-200,-200,-71,-200,-200,8
-81,-200,-200,-86,-200,-200,-200,-200,-95,-200,-72,-82,-200,-200,-200,13
-78,-200,-200,-200,-89,-200,-96,-200,-82,-81,-200,-200,-72,-200,-200,23
-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,14
-87,-200,-200,-84,-200,-200,-200,-200,-200,-200,-72,-87,-200,-200,-200,1
-86,-200,-200,-84,-200,-200,-200,-200,-200,-200,-87,-88,-200,-200,-200,15
-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-78,6
-90,-200,-200,-200,-91,-200,-200,-93,-74,-96,-200,-200,-200,-200,-200,9
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-74,-200,18
-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-88,19
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-74,-200,18
-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,4
-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,21
-77,-200,-200,-200,-200,-84,-88,-96,-85,-85,-200,-200,-90,-200,-200,10
-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-77,-200,-200,11
-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,6
-81,-200,-200,-200,-85,-200,-200,-94,-85,-81,-200,-200,-69,-200,-200,23
-83,-200,-200,-200,-92,-200,-200,-92,-73,-200,-200,-200,-200,-200,-200,9
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-85,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,21
-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-90,19
-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,4
