Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
13,-83,-101,,-77,,,,,-93,,-72,-78,,,
4,,,,-88,,,,,,,-83,,,,
10,-69,,,,,-86,-85,-90,-73,-84,,,-84,,
5,-83,,,,,,-94,,,,,,,,
3,,,,-67,,,,,,,,,,,
8,,,,,-70,,,-72,-74,,,,-87,,
21,,,,,,,-77,,,,,,,,-90
19,,,,,,,-86,,,,,,,,-73
1,-88,,,-84,,,,,,,-69,-88,,,
23,-90,,,,-88,,-93,,-72,-87,,,-70,,
2,,,,-73,,,,,,,,,,,
9,-85,,,,-79,,,-90,-98,,,,-90,,
6,,,,,,,-62,,,,,,-88,-82,
11,,,,,,,-89,-83,-88,-89,,,-76,,
22,,,,,,,,,-86,,,,-69,,
18,,,,,,,-86,,,,,,,-91,
7,-79,,,,,,,,,,,,,,
16,-87,,,,-97,-89,-75,-98,-75,-85,,,-93,,-90
4,,,,-87,,,,,,,-85,-86,,,
15,-87,,,-86,,,,,,,-85,-85,,,
18,,,,,,,-86,,,,,,,-91,
20,-82,,-81,,,,,,,,,,,,
20,-82,,-81,,,,,,,,,,,,
16,-88,,,,-92,-82,-75,-97,-75,-84,,,-89,,-90
14,,,,,,,-82,,,,,,,-95,
13,-89,,,-76,,,,,-94,,-72,-77,,,
19,,,,,,,-79,,,,,,,,-88
21,,,,,,,-73,,,,,,,,
6,-84,,,,,,-56,,,,,,,,
23,-78,,,,-86,,,-93,-71,-80,,,-71,,
2,,,,-75,,,,,,,,,,,
10,-79,,,,,-87,-83,-88,-72,-85,,,-83,,
5,-82,,,,,,,,,,,,,,
4,-91,,,-88,,,,,,,-90,-86,,,
7,-76,,,,,,,,,,,,,,
1,-82,,,-84,,,,,,,-71,,,,
11,,,,,,,-90,-83,-89,-89,,,-78,,
18,,,,,,,-79,,,,,,-75,-81,
8,,,,,-71,,,-73,-72,,,,-84,,
21,,,,,,,-73,,,,,,,,
6,,,,,,,-54,,,,,,,,
3,,,,-57,,,,,,,,-95,,,
19,,,,,,,-88,,,,,,,,-94
18,,,,,,,-79,,,,,,-75,-81,
20,-82,,,,,,,,,,,,,,
23,-83,,,,,,-93,-89,-86,-80,,,-73,,
22,,,,,,,,,-94,,,,-84,,
20,-82,,,,,,,,,,,,,,
9,-91,,,,-79,,,-87,-56,,,,-91,,
9,-91,,,,-79,,,-86,-56,,,,-88,,
2,,,,-74,,,,,,,,,,,
4,,,,-89,,,,,,,-82,-87,,,
14,,,,,,,-85,,,,,,,,
3,,,,-68,,,,,,,-93,-92,,,
15,-89,,,-83,,,,,,,-83,-86,,,
13,-85,,,-82,,,,,,,-76,-85,,,
3,-90,,,-71,,,,,,,,,,,
10,-73,,,,,-93,-82,-90,-73,-88,,,-82,,
5,-76,,,,,,,,,,,,,,
6,-89,,,,,,-55,,,,,,,,
21,,,,,,,,,,,,,,,
7,-78,,,,,,,,,,,,,,
2,,,,-75,,,,,,,,,,,
9,-85,,,,-78,,,-89,-63,,,,-90,,
23,-83,,,,-90,,,,-73,-78,,,-75,,
19,,,,,,,-94,,,,,,,,-87
1,-86,,,-85,,,,,,,-71,-87,,,
3,-93,,,-48,,,,,,,-89,-89,,,
4,,,,-88,,,,,,,-85,-87,,,
7,-79,,,,,,,,,,,,,,
11,-91,,,,,,-91,-83,-86,-89,,,-81,,
18,,,,,,,,,,,,,-92,-87,
20,,,-86,,,,,,,,,,,,
6,,,,,,,,,-100,,,,-88,-86,-85
18,,,,,,,,,,,,,-92,-87,
20,,,-86,,,,,,,,,,,,
21,,,,,,,-67,,,,,,,,
8,,,,,-70,,,-72,-76,,,,-84,,
2,,,,-73,,,,,,,,,,,
14,,,,,,,-84,,,,,,,-96,
23,-79,,,,-89,,-95,,-73,-85,,,-67,,
9,-92,,,,-80,,,-85,-58,-96,,,-87,,
19,,,,,,,-89,,,,,,,,-89
13,-87,,,-82,,,,,,,-73,-78,,,
7,-84,,,,,,,,,,,,,,
3,,,,-54,,,,,,,-96,-90,,,
10,-71,,,,-94,-94,-84,,-79,-89,,,-83,,
4,,,,-89,,,,,,,-87,-86,,,
5,-83,,,,,,-91,,,,,,,,
22,,,,,-97,,,-93,,,,,-80,,
6,,,,,,,-70,,,,,,-89,,
21,,,,,,,,,,,,,,,
1,-82,,,-85,,,,,,,-70,-90,,,
15,-89,,,-82,,,,,,,-85,-92,,,
16,-80,,,,-92,-89,-81,-97,-69,-86,,,-88,,-88
2,,,,-71,,,,,,,,,,,
9,-85,,,,-80,,,-88,-57,-98,,,-88,,
23,-82,,,,-86,,,,-72,-83,,,-72,,
3,-88,,,-53,,,,,,,,-89,,,
11,,,,,,,-91,-83,-93,-90,,,-80,,
19,,,,,,,,,,,,,,,-80
18,,,,,,,-80,,,,,,-75,,
7,-77,,,,,,,,,,,,,,
20,-85,,-84,,,,,,,,,,,,
4,,,,-85,,,,,,,-86,-86,,,
20,-85,,-84,,,,,,,,,,,,
18,,,,,,,-80,,,,,,-75,,
6,,,,,,,-77,,,,,,-90,,-73
14,,,,,,,-78,,,,,,,,
13,-87,-95,,-77,,,,,,,-73,-87,,,
21,,,,,,,-71,,,,,,,,
10,-76,,,,,-86,-80,-93,-76,-90,,,-84,,
2,,,,-81,,,,,,,,,,,
3,-97,,,-58,,,,,,,,,,,
9,-88,,,,-85,,,-89,-61,-95,,,-89,,
23,-87,,,,-90,,-96,-91,-77,-84,,,-68,,
8,,,,,-81,,,-68,-72,,,,-82,,
5,-82,,,,,,-91,,,,,,,,
7,-81,,,,,,,,,,,,,,
19,,,,,,,-92,,,,,,,,-78
16,-82,,,,-87,-89,-82,-97,-69,-86,,,-88,,-90
4,,,,-90,,,,,,,,,,,
1,-84,,,-86,,,,,,,-89,-87,,,
6,,,,,,,-76,,,,,,,,
21,,,,,,,-67,,,,,,,,
11,,,,,,,,-82,-86,-93,,,-73,,
20,-89,,,-84,,,,,,,,,,,
18,,,,,,,,,-92,,,,-85,-74,
3,,,,-78,,,,,,,,,,,
2,,,,-89,,,,,,,,,,,
18,,,,,,,,,-92,,,,-85,-74,
15,-91,,,-85,,,,,,,-86,-86,,,
23,-101,,,,-90,,,-89,-74,-81,,,-69,,
20,-89,,,-84,,,,,,,,,,,
22,,,,,,,,,,,,,-87,,
9,-88,,,,-84,,,-85,-59,-94,,,-92,,
7,-81,,,,,,,,,,,,,,
14,,,,,,,-76,,,,,,,,
4,,,,-84,,,,,,,-84,-89,,,
19,,,,,,,-83,,,,,,,,-80
6,,,,,,,-74,,,,,,-95,,-87
13,-89,-97,,-83,,,,,,,-78,-85,,,
21,,,,,,,-63,,,,,,,,
10,-72,,,,,-97,-86,-92,-75,-82,,,-81,,
5,-80,,,,,,,,,,,,,,
3,,,,-67,,,,,,,-94,,,,
1,-87,,,-87,,,,,,,-72,-89,,,
2,,,,-80,,,,,,,,,,,
23,-83,,,,-84,,-95,-92,-74,-82,,,-67,,
8,,,,,-70,,,-76,-77,,,,-81,,
7,-79,,,,,,,,,,,,,,
6,,,,,,,-69,,,,,,,,-74
4,,,,-86,,,,,,,-89,-90,,,
11,-90,,,,,,-90,-80,-86,-94,,,-76,,
16,-82,,,,-87,-89,-85,-97,-71,-84,,,-84,,-92
19,,,,,,,,,,,,,,,-82
20,,,,-87,,,,,,,,,,,
21,-96,,,,,,-69,,,,,,,,
18,-85,,,,,,,,,,,,-86,-72,-84
20,,,,-87,,,,,,,,,,,
16,-85,,,,-87,-89,-83,-97,-70,-88,,,-84,,-92
3,,,,-70,,,,,,,,,,,
18,-85,,,,,,,,,,,,-86,-72,-84
14,,,,,,,-81,,,,,,,,
22,,,,,,,,-95,,,,,-89,,
2,,,,-76,,,,,,,,,,,
23,,,,,,,,-93,-75,-79,,,-67,,
10,-77,,,,,-92,-77,,-79,-90,,,-84,,
6,,,,,,,,,,,,,,,
13,-88,-93,,-75,,,,,-98,,-77,-84,,,
7,-78,,,,,,,,,,,,,,
15,-86,,,-84,,,,,,,-89,-88,,,
4,-93,,,-84,,,,,,,-86,-99,,,
5,-83,,,,,,-90,,,,,,,,
21,,,,,,,-66,,,,,,,,
19,,,,,,,-91,,,,,,,,-75
1,-86,,,-81,,,,,,,-71,-87,,,
3,,,,-77,,,,,,,,-92,,,
2,,,,-74,,,,,,,,,,,
11,-93,,,,,,-90,-86,-87,-92,,,-84,,
23,-79,,,,-88,,,,-76,-81,,,-69,,
6,,,,,,,-71,,,,,,,,-73
20,-84,,-79,,,,,,,,,,,,
20,-84,,-79,,,,,,,,,,,,
7,-79,,,,,,,,,,,,,,
18,-85,,,,,,-85,,,,,,-85,-76,-79
8,,,,,-85,,,-69,-76,,,,-76,,
4,,,,-85,,,,,,,-84,-85,,,
16,-85,,,,-87,-96,-80,-97,-73,-85,,,-92,,-92
18,-85,,,,,,-85,,,,,,-85,-76,-79
19,,,,,,,,,,,,,,,-75
3,,,,-70,,,,,,,,,,,
21,,,,,,,-64,,,,,,,,
14,,,,,,,-74,,,,,,,,
9,-92,,,,-79,,,-85,-56,-95,,,-88,,
22,,,,,,,,,,,,,-85,,
10,-80,,,,,-91,-78,-91,-79,-78,,,-76,,
13,-87,,,-76,,,,,,,-71,-86,,,
9,-89,,,,-81,,,,-57,-94,,,-86,,
9,-88,,,,-88,,,-90,-62,,,,-87,,
5,-82,,,,,,,,-86,,,,,,
6,,,,,,,-68,,,,,,-88,,-90
2,,,,-77,,,,,,,,,,,
9,-89,,,,-84,,,-90,-61,,,,-91,,
23,-82,,,,-86,,-91,-89,-76,-82,,,-67,,
1,-88,,,-85,,,,,,,-71,-86,,,
7,-78,,,,,,,,,,,,,,
16,-82,,,,-87,-84,-80,-97,-74,-88,,,-92,,-92
4,,,,-87,,,,,,,-95,-94,,,
3,,,,-65,,,,,,,,-92,,,
21,,,,,,,,,,,,,,,
15,-86,,,-84,,,,,,,-93,-85,,,
19,,,,,,,-81,,,,,,,,-93
11,-91,,,,,,-91,-81,-92,-92,,,-82,,
20,,,-82,,,,,,,,,,,,
6,,,,,,,-63,,,,,,-84,,-81
20,,,-82,,,,,,,,,,,,
18,-89,,,,,,,,,-93,,,-82,-73,
2,,,,-77,,,,,,,,,,,
9,-93,,,,-81,,,-88,-63,-93,,,-91,,
23,-79,,,,-93,,-92,-92,-76,-83,,,-75,,
18,-89,,,,,,,,,-93,,,-82,-73,
14,,,,,,,-87,,,,,,,-97,-92
4,,,,-83,,,,,,,-86,,,,
3,-93,,,-81,,,,,,,,,,,
16,-82,,,,-87,-84,-74,-92,-71,-88,,,-88,,-92
8,,,,,-74,,,-69,-78,,,,-87,,
10,-76,,,,,-90,-82,,-78,-89,,,-90,,
21,,,,,,,-73,,,,,,,,-83
22,,,,,,,,,,,,,-93,,
13,-89,,,-74,,,,,,,-72,-77,,,
5,-83,,,,,,-91,,,,,,,,
16,-82,,,,-90,-85,-74,-92,-71,-88,,,-85,,-92
19,,,,,,,-86,,,,,,,,-91
1,-89,,,-83,,,,,,,-70,-88,,,
6,,,,,,,-59,,,,,,,,-78
2,,,,-81,,,,,,,,,,,
9,-89,,,,-83,,,-91,-63,,,,-91,,
23,-82,,,,-83,,-91,-90,-72,-81,,,-75,,
7,-88,,,,,,,,,,,,,,
3,,,,-72,,,,,,,,,,,
11,-90,,,,,,-91,-84,-88,-91,,,-75,,
20,,,-87,,,,,,,,,,,,
4,-93,,,-89,,,,,,,-84,-91,,,
21,,,,,,,-70,,,,,,,,
20,,,-87,,,,,,,,,,,,
18,,,,,,,-85,,,,,,-82,-82,-81
7,-89,,,,,,,,,,,,,,
16,-82,,,,-95,-88,-74,-92,-69,-85,,,-86,-92,-92
6,-89,,,,,,-58,,,,,,,-83,-88
19,,,,,,,,,,,,,,,-87
18,,,,,,,-85,,,,,,-82,-82,-81
15,-94,,,-87,,,,,,,-83,-86,,,
14,,,,,,,-75,,,,,,,,
2,,,,-72,,,,,,,,,,,
10,-74,,,,,-88,-78,,-83,-91,,,-86,,-92
9,-92,,,,-88,,,-86,-57,,,,-92,,
23,-77,,,,-86,,,-94,-71,-81,,,-67,,
13,-85,-91,,-83,,,,,-97,,-76,-79,,,
3,,,,-63,,,,,,,,,,,
5,-85,,,,,,-90,,-86,,,,,,
21,,,,,,,,,,,,,-94,,
4,,,,-83,,,,,,,-86,-85,,,
7,,,,,,,,,,,,,,,
1,-88,,,-84,,,,,,,-70,-87,,,
22,,,,,,,,,,,,,-81,,
8,,,,,-75,,,-78,-82,,,,-81,,
6,-92,,,,,,-60,,,,,,,,
19,,,,,,,-85,,,,,,,,-78
20,-81,,,,,,,,,,,,,,
11,,,,,,,-91,-85,-93,-90,,,-74,,
2,,,,-72,,,,,,,,,,,
3,,,,-58,,,,,,,-94,-92,,,
9,-95,,,,-82,,,-90,-56,-92,,,-87,,
23,-78,,,,-86,,,,-74,-79,,,-72,,
20,-81,,,,,,,,,,,,,,
7,-91,,,,,,,,,,,,,,
18,,,,,,,-92,,-96,,,,-81,-78,-84
4,,,,-84,,,,,,,-82,-85,,,
18,,,,,,,-92,,-96,,,,-81,-78,-84
14,,,,,,,-76,,,,,,,,
6,-87,,,,,,-67,,,,,,-89,-88,
10,-76,,,,-86,,-72,-88,-77,-86,,,-83,,-89
13,-87,-93,,-77,,,,,,,-72,-82,,,
19,,,,,,,-89,,,,,,,,-82
5,-85,,,,,,-90,,-87,,,,,,
2,,,,-80,,,,,,,,,,,
1,-87,,,-89,,,,,,,-77,-87,,,
3,,,,-58,,,,,,,,-93,,,
9,-94,,,,-83,,,-87,-57,,,,-93,,
21,,,,,,,-71,,,,,,,,
21,-83,,,,,,-70,,,,,,,,
7,,,,,,,,,,,,,,,
23,-81,,,,-89,,,-92,-73,-79,,,-73,,
4,,,,-83,,,,,,,-85,-86,,,
6,-85,,,,,,-58,,,,,,-96,-86,-83
22,,,,,,,,,,,,,-77,,
20,,,,,,,,,,,,,,,
11,,,,,,,-91,-86,-97,-88,,,-73,,
8,,,,,-76,,,-75,-79,,,,-79,,
20,,,,,,,,,,,,,,,
3,,,,-72,,,,,,,,-85,,,
19,,,,,,,-83,,,,,,,,-91
18,-87,,,,,,-80,,-87,,,,-84,-80,-86
2,,,,-73,,,,,,,,,,,
9,-93,,,,-79,,,-94,-63,-94,,,-85,,
23,-74,,,,-87,,,-97,-77,-83,,,-71,,
18,-87,,,,,,-80,,-87,,,,-84,-80,-86
14,,,,,,,-79,,,,,,,,-94
21,,,,,,,,,,,,,,,
10,-72,,,,-93,-87,-75,-91,-77,-84,,,-82,,
7,,,,,,,,,,,,,,,
6,,,,,,,-66,,,,,,,-81,
4,,,,-83,,,,,,,-83,-90,,,
13,-83,,,-79,,,,,-97,,-72,-82,,,
5,-81,,,,,,-90,,,,,,,,
1,-85,,,,,,,,,,-78,,,,
3,,,,-42,,,,,,,,-86,,,
15,-88,,,-87,,,,,,,-82,-88,,,
19,,,,,,,-91,,,,,,,,-90
2,,,,-76,,,,,,,,,,,
9,-86,,,,-78,,,-84,-66,-91,,,-84,,
21,,,,,,,-72,,,,,,,,-82
23,-75,,,,-88,,,-88,-70,-83,,,-71,,
20,,,-84,,,,,,,,,,,,
11,,,,,,,,-82,-89,,,,-74,,
6,-90,,,,,-90,-71,,,,,,,-82,-86
7,-85,,-98,,,,,,,,,,,,
20,,,-84,,,,,,,,,,,,
4,,,,-88,,,,,,,-82,-86,,,
15,-85,,,-80,,,,,,,-83,-85,,,
22,,,,,,,,,,,,,-80,,
18,,,,,,,-87,,,,,,-83,-77,-89
3,-91,,,-75,,,,,,,,-91,,,
8,,,,,-76,,,-79,-78,,,,-76,,
18,,,,,,,-87,,,,,,-83,-77,-89
14,,,,,,,-82,,,,,,,,
10,-71,,,,-89,-84,-79,-87,-73,-92,,,-87,,
2,,,,-77,,,,,,,,,,,
16,-84,,,,-93,-83,-80,-89,-72,-83,,,-87,-92,-92
9,-89,,,,-79,,,-89,-57,-91,,,-88,,
19,,,,,,,-86,,,,,,,,-72
23,-79,,,,-84,,,-94,-71,-81,,,-71,,
13,-89,,,-81,,,,,-94,,-72,-86,,,
6,-95,,,,,,-71,,,,,,,-87,
5,-82,,,,,,-88,,-88,,,,,,
21,,,,,,,,,,,,,,,
1,-85,,,-88,,,,,,,-78,,,,
7,-94,,,,,,,,,,,,,,
4,,,,-87,,,,,,,-82,-85,,,
3,-96,,,-66,,,,,,,,,,,
20,-82,,-83,,,,,,,,,,,,
11,-93,,,,,,-97,-84,-89,,,,-73,,
20,-82,,-83,,,,,,,,,,,,
16,-83,,,,-91,-82,-79,-89,-67,-82,,,-87,-92,-92
2,,,,-76,,,,,,,,,,,
9,-86,,,,-79,,,-86,-58,-92,,,-84,,
6,-91,,,,,,-57,,,,,,,-84,-88
19,,,,,,,-83,,,,,,,,-76
22,,,,,,,,,,,,,-83,,
23,-78,,,,-87,,,-89,-74,-77,,,-70,,
21,,,,,,,,,,,,,,,
7,-86,,,,,,,,,,,,,,
4,,,,-88,,,,,,,,-89,,,
18,-83,,,,,,,,,,,,-78,-69,-80
14,,,,,,,-75,,,,,,,,
3,,,,-74,,,,,,,,,,,
18,-83,,,,,,,,,,,,-78,-69,-80
10,-71,,,,,-84,-78,,-82,-90,,,-90,,-93
15,-84,,,-87,,,,,,,-86,-88,,,
13,-85,,,-85,,,,,-91,,-73,-78,,,
1,-85,,,,,,,,,,-80,-87,,,
8,,,,,-75,,,-82,-87,,,,-79,,
5,-85,,,,,,,,-88,,,,,,
6,,,,,,,-97,,-92,,,,,-84,
2,,,,-78,,,,,,,,,,,
9,-92,,,,-79,,,-87,-57,,,,-85,,
23,-78,,,,-87,,-92,-99,-72,-80,,,-68,,
16,-81,,,,-89,-86,-73,-89,-75,-82,,,-87,-92,-92
21,,,,,,,-72,,,,,,,,
19,,,,,,,-86,,,,,,,,-76
7,-87,,,,,,,,,,,,,,
4,,,,-92,,,,,,,-84,-89,,,
20,,,-80,,,,,,,,,,,,
11,-92,,,,,,-92,-86,-88,,,,-75,,
20,,,-80,,,,,,,,,,,,
16,-81,,,,-89,-86,-80,-89,-70,-81,,,-87,-92,-92
6,-88,,,,,,-71,,,,,,,-84,
22,,,,,,,,-92,,,,,-85,,
2,,,,-75,,,,,,,,,,,
18,,,,,,,,,,,,,-83,,
9,-91,,,,-79,,,-87,-58,-92,,,-85,,
21,,,,,,,-69,,,,,,,,
14,,,,,,,-86,,,,,,,-93,
10,-78,,,,,-88,-80,,-81,-85,,,-91,,
23,-79,,,,-89,,,-89,-71,-86,,,-69,,
18,,,,,,,,,,,,,-83,,
7,-93,,,,,,,,,,,,,,
19,,,,,,,-81,,,,,,,,-73
4,-93,,,-88,,,,,,,-86,-88,,,
1,,,,,,,,,,,-73,,,,
13,-86,-93,,-76,,,,,-94,,-73,-88,,,
5,-84,,,,,,-88,,,,,,,,
6,-86,,,,,,-69,,,,,,,-77,
15,-86,,,-81,,,,,,,-87,-89,,,
20,,,-83,,,,,,,,,,,,
8,,,,,-73,,,-78,-86,,,,-79,,
2,,,,-77,,,,,,,,,,,
21,,,,,,,-69,,,,,,,,
9,-90,,,,-78,,,-86,-59,-93,,,-85,,
20,,,-83,,,,,,,,,,,,
23,-76,,,,-87,,,,-70,-78,,,-69,,
11,,,,,,,-91,-83,-90,,,,-82,,
7,-87,,-90,,,,,,,,,,,,
19,,,,,,,-81,,,,,,,,-71
4,,,,-88,,,,,,,-82,-87,,,
16,-83,,,,-89,-89,-70,-89,-74,-87,,,-86,-92,-92
6,,,,,,,-63,,,,,,,,
22,,,,,,,,,,,,,-87,,
3,,,,-65,,,,,,,,-96,,,
18,,,,,,,-80,,,,,,-88,-85,
14,,,,,,,-81,,,,,,,,
10,-79,,,,-96,-93,-79,-83,-75,-89,,,-83,,
18,,,,,,,-80,,,,,,-88,-85,
1,,,,-86,,,,,,,-79,,,,
2,,,,-80,,,,,,,,,,,
21,,,,,,,-68,,,,,,,,
13,-91,,,-82,,,,,,,-80,-91,,,
5,-81,,,,,,-89,,-90,,,,,,
23,-75,,,,-88,,,-92,-79,-78,,,-70,,
7,,,-92,,,,,,,,,,,,
4,,,,-86,,,,,,,-87,-89,,,
19,,,,,,,-90,,,,,,,,-87
20,,,,,,,,,,,,,,,
16,-83,,,,-89,-88,-70,-90,-72,-87,,,-94,-92,-92
6,,,,,,,-67,,,,,,,-82,-94
3,,,,-56,,,,,,,-97,,,,
20,,,,,,,,,,,,,,,
11,-91,,,,,,,-82,-89,-91,,,-82,,
9,-88,,,,-79,,,-84,-58,-93,,,-90,,
21,,,,,,,-64,,,,,,,,
2,,,,-71,,,,,,,,,,,
9,-87,,,,-80,,,-86,-59,-94,,,-85,,
8,,,,,-69,,,-85,-84,,,,-81,,
15,-88,,,-85,,,,,,,-86,-89,,,
23,-76,,,,-86,,,-88,-71,-80,,,-67,,
16,-84,,,,-91,-91,-72,-92,-71,-84,,,-89,-92,-92
7,-88,,-94,,,,,,,,,,,,
14,,,,,,,-79,,,,,,,,
4,,,,-88,,,,,,,-85,-88,,,
10,-75,,,,,-87,-78,-93,-76,-86,,,-91,,
18,,,,,,,-75,,,,,,-76,-74,
22,,,,,,,,,,,,,-82,,
19,,,,,,,-86,,,,,,,,-71
6,-89,,,,,,-55,,-92,,,,,-81,-85
3,,,,-59,,,,,,,,,,,
1,,,,,,,,,,,-78,,,,
18,,,,,,,-75,,,,,,-76,-74,
13,-86,,,-79,,,,,-91,,-82,-77,,,
5,-82,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
2,,,,-73,,,,,,,,,,,
16,-80,,,,-88,-89,-82,-90,-72,-85,,,-89,-92,-92
9,-86,,,,-78,,,-90,-64,,,,-88,,
23,-77,,,,-88,,-94,-91,-74,-98,,,-69,,
20,,,-78,,,,,,,,,,,,
7,-90,,-97,,,,,,,,,,,,
4,,,,-86,,,,,,,-94,,,,
20,,,-78,,,,,,,,,,,,
6,-87,,,,,,-51,,,,,,,,-90
3,-94,,,-57,,,,,,,,,,,
11,,,,,-95,,-92,-84,-92,,,,-76,,
19,,,,,,,-85,,,,,,,,-85
16,-79,,,,-90,-87,-83,-91,-71,-89,,,-89,-92,-92
21,,,,,,,-71,,,,,,,,
14,,,,,,,-80,,,,,,,,
2,,,,-71,,,,,,,,,,,
10,-73,,,,-93,-97,-88,-92,-66,-81,,,-78,,-83
9,-90,,,,-82,,,-88,-61,,,,-91,,
18,,,,,,,,,-92,,,,-72,-82,-83
23,-76,,,,-87,,,-94,-70,-80,,,-69,,
8,,,,,-70,,,-79,-88,,,,-76,,
18,,,,,,,,,-92,,,,-72,-82,-83
6,-89,,,,,-99,-64,,,,,,,-90,-79
7,-84,,-91,,,,,,,,,,,,
15,-84,,,-84,,,,,,,-87,-89,,,
1,,,,,,,,,,,-83,-90,,,
22,,,,,,,,-96,,,,,-85,,
3,,,,-70,,,,,,,,,,,
4,,,,-88,,,,,,,-86,-94,,,
13,-87,,,-76,,,,,,,-82,-81,,,
5,-81,,,,,,,,-88,,,,,,
19,,,,,,,-86,,,,,,,,-81
16,-84,,,,-88,-94,-79,-91,-72,-85,,,-86,-92,-92
20,,,-79,,,,,,,,,,,,
20,,,-79,,,,,,,,,,,,
2,,,,-72,,,,,,,,,,,
11,-89,,,,,,,-83,,-90,,,-77,,
9,-89,,,,-79,,,-90,-71,-88,,,-89,,
23,-76,,,,-87,,,,-77,-85,,,-73,,
6,-94,,,,,,-53,,,,,,,-83,
3,-92,,,-77,,,,,,,-89,,,,
7,-89,,-94,,,,,,,,,,,,
4,-91,,,-87,,,,,,,-86,-91,,,
14,,,,,,,-82,,,,,,,,
10,-81,,,-94,,-83,-80,-91,-77,,,,-91,,-84
19,,,,,,,-87,,,,,,,,-86
18,,,,,,,-85,,,,,,-76,,-85
1,,,,,,,,,,,-82,,,,
16,-84,,,,-94,-88,-73,-93,-73,-85,,,-97,-92,-92
21,,,,,,,-69,,,,,,,,-85
2,,,,-75,,,,,,,,,,,
18,,,,,,,-85,,,,,,-76,,-85
13,-86,,,-85,,,,,-93,,-85,-76,,,
5,-85,,,,,,-90,,-91,,,,,,
9,-91,,,,-80,,,-89,-63,-91,,,-85,,
3,,,,-57,,,,,,,,-89,,,
23,-77,,,,-88,,,-92,,-81,,,-68,,
8,,,,,-69,,,-79,-85,,,,-76,,
7,-90,,-93,,,,,,,,,,,,
22,,,,,,,,-91,,,,,-80,,
20,,,-79,,,,,,,,,,,,
4,,,,-85,,,,,,,-83,-87,,,
20,,,-79,,,,,,,,,,,,
15,-94,,,-80,,,,,,,-83,-87,,,
16,-83,,,,-90,-88,-77,-93,-71,-87,,,-91,-92,-92
11,,,,,,,,-83,-88,-92,,,-77,,
19,,,,,,,-83,,,,,,,-92,-74
21,,,,,,,-70,,,,,,,,
2,,,,-75,,,,,,,,,,,
3,-94,,,-49,,,,,,,,,,,
9,-85,,,,-81,,,-87,-57,,,,-85,,
23,-78,,,,-89,,-95,-93,-73,-75,,,-74,,
10,-82,,,,,-93,-84,,-94,,,,-93,,
14,,,,,,,-80,,,,,,,,
7,,,,,,,,,,,,,,,
4,-94,,,-85,,,,,,,-85,-86,,,
1,-82,,,,,,,,,,-83,,,,
18,,,,,,,-83,,,,,,,,-79
18,,,,,,,-83,,,,,,,,-79
16,-87,,,,-92,-87,-76,-90,-70,-88,,,-85,-92,-92
6,,,,,,,,,,,,,,-84,-84
13,-85,,,-92,,,,,,,-88,-75,,,
5,-81,,,,,,-90,,-89,,,,,,
21,,,,,,,-73,,,,,,,,
19,,,,,,,-87,,,,,,,,-90
3,-92,,,-92,,,,,,,-94,-93,,,
2,,,,-74,,,,,,,,,,,
20,,,-81,,,,,,,,,,,,
9,-89,,,,-77,,,-86,-60,,,,-89,,
23,-73,,,,-90,,,-90,-77,-78,,,-72,,
20,,,-81,,,,,,,,,,,,
7,-80,,,,,,,,,,,,,,
4,,,,-85,,,,,,,-83,-87,,,
8,,,,,-70,,,-84,-83,,,,-84,,
11,-93,,,,,,-91,-82,-87,-88,,,-78,,
6,-83,,,,,,-58,,-96,,,,-89,-89,
16,-79,,,,-92,-87,-81,-90,-71,-89,,,-85,-92,-92
22,,,,,,,,-92,,,,,-84,,
21,,,,,,,-72,,,,,,,,
3,,,,-65,,,,,,,,-96,,,
14,,,,,,,-80,,,,,,,,
15,-95,,,-83,,,,,,,-84,-89,,,
10,-78,,,,,-85,-76,,-84,,,,-97,-94,
2,,,,-72,,,,,,,,,,,
1,-87,,,,,,,,,,-85,-85,,,
19,,,,,,,-83,,,,,,,,-70
18,,,,,,,,,,,,,,-86,-87
23,-75,,,,-95,,,-94,-77,-76,,,-71,,
18,,,,,,,,,,,,,,-86,-87
13,-82,,,-86,,,,,,,-78,-93,,,
4,,,,-86,,,,,,,-87,-87,,,
5,-83,,,,,,,,-86,,,,,,
6,,,,,,,-60,,,,,,,,
7,-80,,,,,,,,,,,,,,
20,,,-81,,,,,,,,,,,,
21,,,,,,,-77,,,,,,,,
20,,,-81,,,,,,,,,,,,
16,-81,,,,-88,-85,-73,-91,-74,-84,,,-85,-92,-92
3,,,,-74,,,,,,,,-88,,,
9,-83,,,,-77,,,-87,,-92,,,-87,,
11,,,,,,,-94,-85,-88,,,,-86,,
2,,,,-71,,,,,,,,,,,
19,,,,,,,-88,,,,,,,-87,-89
23,-80,,,,-91,,-92,,-78,-83,,,-73,,
7,-90,,,,,,,,,,,,,,
9,-84,,,,-78,,,-84,-60,-93,,,-86,,
6,-94,,,,,,-65,,,,,,,,-85
4,,,,-91,,,,,,,,-87,,,
10,-75,,,,-91,-79,-87,-93,-74,-95,,,-78,,
14,,,,,,,-89,,,,,,,,
8,,,,,-74,,,-86,-81,,,,-86,,
1,-84,,,,,,,,,,-80,,,,
21,,,,,,,-72,,,,,,,,
3,,,,-72,,,,,,,-89,,,,
