Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
3,,,,-72,,,,,,,,,,,
21,,,,,,,,,,,,,,,-83
1,-93,,,-82,,,,,,,-71,-89,,,
13,-84,,,-78,,,,,-95,,-72,-77,,,
6,,,,,,,-65,,,,,,,-89,
16,-77,,,,,-89,-74,-98,-92,-86,,,-93,,-90
23,-84,,,,-91,,-97,-92,-80,-81,,,-70,,
14,,,,,,,-89,,,,,,,,
9,-91,,,,-91,,,-83,-70,-92,,,-87,,
19,,,,,,,-82,,,,,,,,
2,,,,-74,,,,,,,,,,,
20,,,-81,,,,,,,,,,,,
7,-87,,,,,,,,,,,,,,
4,,,,-87,,,,,,,-89,-96,,,
20,,,-81,,,,,,,,,,,,
15,-84,,,-85,,,,,,,-83,-89,,,
5,-77,,,,,,,,,,,,,,
3,,,,-75,,,,,,,,,,,
18,,,,,,,-86,,-92,,,,-82,,-77
10,-77,,,,-92,-91,-81,-91,-90,-82,,,-98,,
18,,,,,,,-86,,-92,,,,-82,,-77
21,,,,,,,-66,,,,,,,,
6,-87,,,,,,-69,,,,,,-93,,
16,-85,,,,,-89,-74,-98,-90,-86,,,-93,,-90
23,-83,,,,-87,,-93,,-77,-79,,,-69,,
11,,,,,,,-92,-82,-86,,,,-74,,
9,-79,,,,-85,,-92,-95,-69,-83,,,-88,,
2,,,,-69,,,,,,,,,,,
19,,,,,,,-85,,,,,,,,-71
7,-80,,,,,,,,,,,,,,
4,,,,-88,,,,,,,-91,-86,,,
1,-91,,,-79,,,,,,,-78,-89,,,
8,,,,,-84,,,-70,-79,,,,-74,,
3,,,,-72,,,,,,,,,,,
13,-82,,,-84,,,,,,,-77,-91,,,
14,,,,,,,-75,,,,,,,,
6,,,,,,,-65,,,,,,,,-80
20,,,-83,,,,,,,,,,,,
21,,,,,,,-66,,,,,,,,
16,-84,,,,,-89,-73,-98,-79,-91,,,-90,,-90
20,,,-83,,,,,,,,,,,,
23,-82,,,,-86,,,-91,-87,-79,,,-69,,
9,-86,,,,-85,,,-91,-71,-85,,,-92,,
2,,,,-73,,,,,,,,,,,
5,-80,,,,,,,,,,,,,,
10,-81,,,,,,-91,,-74,-84,,,-81,,
18,,,,,,,,,,,,,,,
19,,,,,,,-87,,,,,,,-95,-79
7,-76,,,,,,,,,,,,,,
4,,,,-91,,,,,,,-85,-89,,,
